index,Name,Address,Zip,Phone,Br_ID
1,1200 St Clair ,1200 ST CLAIR AVE WEST,M6E1B4,416-652-3444,1
3,Avenue Rd & Fairlawn ,1705 AVENUE ROAD,M5M3Y5,416-782-3508,2
5,Bathurst & Frontenac ,2953 BATHURST ST,M6B3B2,416-789-7915,3
10,Bay & College ,763 BAY STREET,M5G2R3,416-867-5190,4
13,Bedford & Bloor ,242 BLOOR STREET WEST,M5S1T8,416-867-4663,5
15,Bloor & Bay (Manulife Centre) ,55 BLOOR ST W,M4W1A6,416-927-5915,6
16,Bloor & Church ,101 - 120 BLOOR STREET EAST,M4W1B7,416-867-6731,7
18,Bloor & Euclid ,640 BLOOR ST W,M6G1K9,416-533-8583,8
21,Bloor & Lansdowne ,1293 BLOOR ST W,M6H1P1,416-531-3561,9
23,Bloor & Windermere ,2330 BLOOR ST W,M6S1P3,416-769-4151,10
25,Bridlewood Mall Branch ,2900 WARDEN AVE,M1W2S8,416-497-2863,11
28,Centerpoint Mall ,6468 YONGE ST,M2M3X4,416-590-7880,12
32,Church & Alexander ,492 CHURCH STREET,M4Y2C8,416-929-3284,13
34,Cityplace ,26 FORT YORK BLVD,M5V3Z3,416-867-6677,14
36,College & Manning ,568 COLLEGE ST,M6G1B3,416-534-8441,15
39,Danforth & Ferrier ,518 DANFORTH AVE,M4K1P6,416-463-1177,16
41,Danforth & Woodbine ,2083 DANFORTH AVE,M4C1K1,416-698-1601,17
43,Dufferin Mall ,900 DUFFERIN STREET,M6H4B1,416-537-3312,18
48,Dundas & Keele ,2859 DUNDAS STREET W,M6P1Y9,416-767-3111,19
49,Dundas & Ossington ,1102 DUNDAS STREET W,M6J1X2,416-583-5100,20
51,Dundas & Spadina (New Chinatown) ,291 SPADINA AVE,M5T2E6,416-867-4759,21
53,Dupont & Symington ,1502 DUPONT STREET,M6P3S1,416-533-7686,22
55,East Liberty& Hanna ,171 EAST LIBERTY STREET,M6K3P6,416-535-5215,23
57,East York Town Centre ,45 OVERLEA BLVD,M4H1C3,416-421-0921,24
59,Eglinton & Elmsthorpe ,419 EGLINTON AVE WEST,M5N1A4,416-489-5020,25
63,Fairbank ,1901 EGLINTON AVE W,M6E2J5,416-781-5557,26
66,First Canadian Place Branch - Main Floor ,100 KING ST. WEST,M5X1A3,416-867-5050,27
71,Forest Hill Village ,437 SPADINA RD,M5P2W3,416-544-0537,28
75,Front & Berkeley ,236 FRONT STREET EAST,M5A4T9,416-366-1776,29
77,King & Church ,101 KING STREET EAST,M5C1G3,416-360-0130,30
79,King & University ,200 KING ST W,M5H3T4,416-867-5268,31
81,Laird & Commercial ,147 LAIRD DRIVE,M4G4K1,416-425-0021,32
82,Lawrence Allen Centre ,700 LAWRENCE AVE WEST,M6A3B4,416-787-4564,33
84,Leaside ,1670 BAYVIEW AVE,M4G3C2,416-488-7298,34
87,Leslie & York Mills ,1859 LESLIE STREET,M3B2M1,416-443-1921,35
89,McCowan Square ,1225 MCCOWAN RD,M1H3K3,416-438-9900,36
100,Queen & Portland ,591 QUEEN ST WEST,M5V2B7,416-703-3812,37
101,Queen & Saulter ,774 QUEEN ST E,M4M1H4,416-461-0801,38
102,Queen & Yonge ,2 QUEEN ST E,M5C3G7,416-867-5596,39
112,Rogers Road ,605 ROGERS ROAD,M6M1B9,416-658-9292,40
126,Stackt Market Bathurst And Front ,28 BATHURST STREET,M5V0R4,416-214-9545,41
128,St.Clair & Runnymede ,2471 ST.CLAIR AVE W,M6N4Z5,416-762-8291,42
131,Steeles & Markham ,6023 STEELES AVE EAST,M1V5P7,416-321-3700,43
133,The Beach ,2183 QUEEN ST E,M4E1E5,416-699-9351,44
136,University & College ,700 UNIVERSITY AVE,M5G1X7,416-867-5330,45
138,University & Dundas ,438 UNIVERSITY AVE,M5G2K8,416-596-8814,46
144,Yonge & Fairlawn ,3320 YONGE ST,M4N2M4,416-488-8335,47
146,Yonge & Gerrard ,382 YONGE STREET,M5B1S8,416-408-1974,48
147,Yonge & Roselawn ,2454 YONGE ST,M4P2H5,416-488-1145,49
149,Yonge & St Clair ,1560 YONGE STREET,M4T2S9,416-920-9861,50
151,York University/York Lanes ,4700 KEELE STREET,M3J1P3,416-665-4775,51
